#Software: SHOUTcast
#Version: 2.6.0.750
#Fields: c-ip c-dns date time cs-uri-stem c-status cs(User-Agent) sc-bytes x-duration avgbandwidth
88.106.121.194 88.106.121.194 2019-10-06 08:06:31 /stream?title=Unknown 200 Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%208.1.0%3B%20Android%20SDK%20built%20for%20x86%20Build%2FOSM1.180201.007%29 1086720 82 106021
88.106.121.194 88.106.121.194 2019-10-06 08:20:19 /stream?title=Unknown 200 stagefright%2F1.2%20%28Linux%3BAndroid%208.1.0%29 14365056 906 126843
88.106.121.194 88.106.121.194 2019-10-06 08:28:04 /stream?title=Unknown 200 Visual%20Studio%2F16.4%20%28JSON%20Editor%3B%20ASP.NET%20and%20Web%20Tools%2F16.4.164.24354%29 42795648 2659 128757
73.183.195.97 73.183.195.97 2019-10-06 08:58:54 /stream?title=Unknown 200 Hi 368263296 23030 127924
79.196.50.88 79.196.50.88 2019-10-06 09:59:01 /stream?title=Unknown 200 WinampMPEG%2F5.09 505344 16 252672
91.250.85.211 91.250.85.211 2019-10-06 10:02:44 /stream?title=Unknown 200 Ruby 41992 0 0
174.49.61.166 174.49.61.166 2019-10-06 14:26:04 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_13_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 137088 0 0
174.49.61.166 174.49.61.166 2019-10-06 14:26:10 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_13_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 346368 6 461824
174.49.61.166 174.49.61.166 2019-10-06 14:29:26 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_13_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 294912 3 786432
220.134.177.248 220.134.177.248 2019-10-06 14:58:46 /stream?title=Unknown 200 Hi 820435968 51291 127965
79.196.50.88 79.196.50.88 2019-10-06 15:37:42 /stream?title=Unknown 200 WinampMPEG%2F5.09 484492 16 242246
5.35.250.98 5.35.250.98 2019-10-06 15:42:11 /stream?title=Unknown 200 Ruby 41992 0 0
185.175.95.42 185.175.95.42 2019-10-06 17:01:23 /stream?title=Unknown 200 Hi 637867008 39851 128050
97.106.102.247 97.106.102.247 2019-10-06 17:22:30 /stream?title=Unknown 200 Hi 698045952 43612 128046
